audio_filepath,text
/content/drive/MyDrive/dataset/sample_001.wav,hey deepgi
/content/drive/MyDrive/dataset/sample_002.wav,hey deepgi polyp found
/content/drive/MyDrive/dataset/sample_003.wav,hey deepgi bleeding noted
/content/drive/MyDrive/dataset/sample_004.wav,hey deepgi lesion identified
/content/drive/MyDrive/dataset/sample_005.wav,hey deepgi diverticulum seen
/content/drive/MyDrive/dataset/sample_006.wav,hey deep gi
/content/drive/MyDrive/dataset/sample_007.wav,hey dgi
/content/drive/MyDrive/dataset/sample_008.wav,hey deepgee
/content/drive/MyDrive/dataset/sample_009.wav,hey deep gee
/content/drive/MyDrive/dataset/sample_010.wav,hey deepgi finding recorded
/content/drive/MyDrive/dataset/sample_011.wav,polyp at sigmoid colon 5 millimeters
/content/drive/MyDrive/dataset/sample_012.wav,bleeding at rectum
/content/drive/MyDrive/dataset/sample_013.wav,diverticulum at descending colon
/content/drive/MyDrive/dataset/sample_014.wav,Paris classification one p pedunculated polyp
/content/drive/MyDrive/dataset/sample_015.wav,sessile polyp at ascending colon 8 millimeters
/content/drive/MyDrive/dataset/sample_016.wav,flat lesion at transverse colon
/content/drive/MyDrive/dataset/sample_017.wav,biopsy taken from hepatic flexure
/content/drive/MyDrive/dataset/sample_018.wav,resection performed at splenic flexure
/content/drive/MyDrive/dataset/sample_019.wav,Boston Bowel Score 8 excellent preparation
/content/drive/MyDrive/dataset/sample_020.wav,cecum reached intubation time 4 minutes
/content/drive/MyDrive/dataset/sample_021.wav,polyp at sigmoid colon 12 millimeters pedunculated
/content/drive/MyDrive/dataset/sample_022.wav,no lesions identified throughout the colon
/content/drive/MyDrive/dataset/sample_023.wav,diverticulum at sigmoid colon mild diverticulosis
/content/drive/MyDrive/dataset/sample_024.wav,bleeding at ascending colon active oozing
/content/drive/MyDrive/dataset/sample_025.wav,Paris classification 2a flat elevated lesion at rectum
/content/drive/MyDrive/dataset/sample_026.wav,hot snare polypectomy performed at cecum
/content/drive/MyDrive/dataset/sample_027.wav,tattoo placed distal to polyp at descending colon
/content/drive/MyDrive/dataset/sample_028.wav,Paris classification 1 s sessile polyp at transverse colon
/content/drive/MyDrive/dataset/sample_029.wav,Boston Bowel Score 6 adequate preparation
/content/drive/MyDrive/dataset/sample_030.wav,withdrawal time 9 minutes complete examination
